Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss
08-12-2013,18.67801939,25.6,21.2,90,4.5,3.808420209
09-12-2013,19,25.8,21.3,89,3.5,0.8
10-12-2013,18,25.90331108,20.7,92,16.8,3.1
11-12-2013,18,24.6,20.6,96,56,3.1
12-12-2013,19,24.8,20.9,92,25.3,2.1
13-12-2013,19,24.8,20.5,93,5.9,1.5
14-12-2013,19,27,21.3,89,10.33774296,3.808420209
15-12-2013,19,26.4,21.51795008,85.83150868,22.6,4.3
16-12-2013,19,25.90331108,21.3,90,5.2,2.8
17-12-2013,19,26.2,21.51795008,85.83150868,25,2.7
18-12-2013,19,24.8,20.9,88,10.33774296,1.5
19-12-2013,18.67801939,25.90331108,20.6,88,114.2,0.7
20-12-2013,18,23.8,21,84,8.5,0.7
21-12-2013,19,26,21.3,87,11.4,3.808420209
22-12-2013,20,21,19.3,98,1.2,4.1
23-12-2013,19,23,19.7,96,55.4,0
24-12-2013,18,25.6,21,88,5.3,0
25-12-2013,18,25.1,20.6,93,27.5,3.7
26-12-2013,19,27.4,21.9,82,9,2.9
27-12-2013,18.67801939,27,21.7,83,10.33774296,6.8
28-12-2013,18,26.6,21.5,75,10.33774296,5.2
29-12-2013,17,25.6,20.3,77,0,3.808420209
30-12-2013,18.67801939,25.90331108,19.8,95,10.33774296,3.808420209
31-12-2013,18,22.2,19.9,93,29,0
01-01-2014,19,24.2,20.7,92,6,0
02-01-2014,19,25.4,20.9,92,2.2,0
03-01-2014,18,27.8,22.1,83,21.6,5
04-01-2014,18.67801939,25.90331108,21.5,85,10.33774296,3.808420209
05-01-2014,18.67801939,26.9,21.51795008,85.83150868,5,1.3
06-01-2014,18.67801939,26.4,22.2,79,1.6,3.808420209
07-01-2014,19,28.4,21.2,86,10.33774296,2.5
08-01-2014,19,23.6,20.1,92,1.2,2.7
09-01-2014,18,25.90331108,22.3,78,6,0.1
10-01-2014,18,27.4,21.2,87,10.33774296,6.5
11-01-2014,18,25,20.7,92,23.9,5.5
12-01-2014,19,21,19.5,98,64.6,3.808420209
13-01-2014,19,21.6,19.9,97,132.5,3.808420209
14-01-2014,18,24.6,20.4,94,13.4,0
15-01-2014,19,24,20.1,91,37.3,3
16-01-2014,19,20,19.3,98,13.9,3.808420209
17-01-2014,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
18-01-2014,19,25.90331108,19,100,140.6,0
19-01-2014,19,20,21.51795008,85.83150868,74.8,0
20-01-2014,18,25.90331108,19.1,100,16.5,0
21-01-2014,18,19.5,19.3,100,78.9,3.808420209
22-01-2014,17,20.4,18.3,99,78.3,0
23-01-2014,17,20,18.4,100,48.8,0
24-01-2014,18,25.90331108,18.9,100,54.6,0
25-01-2014,17,22.6,19.8,95,25,0
26-01-2014,18.67801939,24.5,20.3,92,1.6,3.2
27-01-2014,17,25.4,19.2,96,17.3,2.5
28-01-2014,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
29-01-2014,18,25.90331108,18.6,100,52.3,3.808420209
30-01-2014,18,25.90331108,19.1,100,192.8,0
31-01-2014,18.67801939,22.4,18.9,100,23.3,3.808420209
01-02-2014,19,23,20.3,96,4.7,0
02-02-2014,18,21.2,19.1,100,32.6,1.1
03-02-2014,18,20,19.4,100,34.2,0
04-02-2014,20,22,19.8,99,78.7,0
05-02-2014,18,24.2,20.3,98,26.3,0
06-02-2014,19,24.4,20.4,95,11.6,1.2
07-02-2014,19,21.4,20.5,96,25.5,3.3
08-02-2014,19,23.1,20.5,94,18.1,3.808420209
09-02-2014,19,21.2,19.6,98,42.3,0
10-02-2014,19,23.2,20.5,94,33.2,0
11-02-2014,19,24,21.7,90,2.5,0.1
12-02-2014,19,25.4,21.5,90,0.1,3.2
13-02-2014,19,26.8,22,87,10.33774296,2.3
14-02-2014,19,25,21.4,89,0,3.808420209
15-02-2014,19,23.6,20.7,92,0,3.5
16-02-2014,19,25.90331108,20.5,88,0.5,0.2
17-02-2014,17,26.2,21.4,85,21.6,1.9
18-02-2014,19,25.90331108,21.51795008,85.83150868,1.2,4.1
19-02-2014,19,21,21,85.83150868,0.1,0
20-02-2014,17,26.4,21.3,81,12.8,4.3
21-02-2014,19,26.6,19.8,94,0.5,7
22-02-2014,19,19.7,19.2,98,23.4,0
23-02-2014,18,21.6,19.4,95,95.7,0
24-02-2014,18,21.1,18.8,97,35.9,0.1
25-02-2014,18,20.4,19.3,97,71.1,0
26-02-2014,18,21.8,19.7,96,33.4,0
27-02-2014,18,22.3,19.8,95,7.1,0
28-02-2014,18,23.8,20.7,93,10.7,0
01-03-2014,17,26.8,20.4,91,0.3,0
02-03-2014,18,25,20.7,89,11.2,1.5
03-03-2014,18,25.90331108,20.9,88,29.4,3.5
04-03-2014,17,28.6,21.7,76,10.33774296,5.4
05-03-2014,18,25,20.5,93,1.3,8.2
06-03-2014,19,27,21.7,84,16.5,1.3
07-03-2014,18,26,20.9,91,14.6,6.5
08-03-2014,20,24.9,21.3,96,6,1.6
09-03-2014,19,24.6,21.2,92,3.2,3.808420209
10-03-2014,19,23,19.9,94,16,0.9
11-03-2014,19,22.8,20.4,95,10.33774296,0
12-03-2014,18,24.1,21.51795008,85.83150868,10.33774296,0
13-03-2014,18,25.2,21.51795008,85.83150868,6.1,0
14-03-2014,19,25.90331108,21.4,91,52.5,3.808420209
15-03-2014,19,26.6,21.3,88,0,2.4
16-03-2014,19,26.2,21.6,89,10.33774296,3.808420209
17-03-2014,20,26.4,21.4,89,0,2.2
18-03-2014,19,24.6,21.51795008,85.83150868,21.5,1.3
19-03-2014,18,24.8,20.8,90,18.9,2.6
20-03-2014,18,26.4,21,86,4.6,3.1
21-03-2014,18,26.2,21.7,82,1.8,2.3
22-03-2014,18,26.2,22,86,1.6,3.808420209
23-03-2014,20,25.90331108,21.2,92,0,1.5
24-03-2014,19,24.2,21.2,95,0.1,0.3
25-03-2014,19,24,20.7,95,8.5,1.4
26-03-2014,19,22.2,21.3,92,3.7,1
27-03-2014,19,25.7,21.2,89,10.33774296,1
28-03-2014,19,26.4,21.9,89,46.9,2.8
29-03-2014,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
30-03-2014,19,26.5,22.6,88,2,4
31-03-2014,18.67801939,26,22,90,10.33774296,3.5
01-04-2014,18,28.2,22,79,7.2,3.8
02-04-2014,19,26.6,21.1,88,0.3,6.9
03-04-2014,19,28.2,22.3,84,3,4.5
04-04-2014,20,26.6,21.6,90,3,7
05-04-2014,18,26.8,21.5,90,4,3.7
